img_path,age
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\50_cent\y\1382085219_084_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\50_cent\y\1382085244_062_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\50_cent\y\Luglio_02811_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\50_cent\y\Rappers_00418_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\50_cent\1382085219_084_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\50_cent\1382085244_062_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\50_cent\Luglio_02811_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\50_cent\Rappers_00418_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aaliyah\y\Gennaio_02605_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aaliyah\Gennaio_02605_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aaron_paul\y\Agosto_01539_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aaron_paul\y\Breaking_Bad_00373_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aaron_paul\Agosto_01539_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aaron_paul\Breaking_Bad_00373_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\abigail_breslin\y\Abigail-Breslin1_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\abigail_breslin\y\images_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\abigail_breslin\Abigail-Breslin1_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\abigail_breslin\images_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adam_levine\y\AdamLevine8thGradeCredit_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adam_levine\y\adam_levine_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adam_levine\a112_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adam_levine\adam_levine2_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adam_sandler\y\93510052_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adam_sandler\y\Settembre_03418_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adam_sandler\93510052_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adam_sandler\Settembre_03418_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adele\y\1351579506_celebrities-childhood-present-2_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adele\y\celebs-then-now-young-old-4_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adele\y\Maggio_04623_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adele\1351579506_celebrities-childhood-present-2_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adele\celebs-then-now-young-old-4_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adele\Maggio_04623_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adolf_hitler\y\Aprile_02786_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adolf_hitler\y\Politicians_00793_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adolf_hitler\Aprile_02786_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adolf_hitler\Politicians_00793_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adriana_lima\y\5b8bb6fdfa8e0cbd3422f0efb3223166_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adriana_lima\y\Adriana-Lima-Victorias-Angel-Child_3.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adriana_lima\y\adriana_lima_tumblr_luxu3zr_Ey31r6jy6zo1_500_1_add.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adriana_lima\y\original_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adriana_lima\y\young_adriana_lima_cm_20120321_00514_002_5.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adriana_lima\ADRIANA-LIMA-8510-1418361012_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adriana_lima\ADRIANA-LIMA-8510-1418361012_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adriana_lima\Adriana-Lima-Victorias-Angel-Child_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adriana_lima\Adriana-Lima-Victorias-Angel-Child_4.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adriana_lima\young_adriana_lima_cm_20120321_00514_044_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adriano_pantaleo\y\adriano-pantaleo_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\adriano_pantaleo\adriano-pantaleo_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\agniya_ditkovskite\y\Maggio_03098_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\agniya_ditkovskite\Maggio_03098_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\agyness_deyn\y\agyness-deyn-ieri-e-oggi_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\agyness_deyn\y\_500_600_80_PiUemX_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\agyness_deyn\agyness-deyn-ieri-e-oggi_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\agyness_deyn\_500_600_80_PiUemX_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aidan_gillen\y\Game_of_Thrones_01345_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\aidan_gillen\Game_of_Thrones_01345_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alain_delon\y\Novembre_00814_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alain_delon\Novembre_00814_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alain_vodonaeva\y\79856_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alain_vodonaeva\79856_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alanna_masterson\y\The_Walking_Dead_01029_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alanna_masterson\The_Walking_Dead_01029_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alan_rickman\y\13599-620x413_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alan_rickman\13599-620x413_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alberto_gilardino\y\alberto-gilardino_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alberto_gilardino\gilardino7we8sp_971483767_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\albert_einstein\y\Marzo_00512_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\albert_einstein\y\s13313673_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\albert_einstein\Marzo_00512_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\albert_einstein\s13313673_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alec_guinness\y\Aprile_03780_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alec_guinness\y\Star_Wars_0_00825_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alec_guinness\Aprile_03780_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alec_guinness\Star_Wars_0_00825_2.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alejandro_bedoya\y\alejandro-bedoya_1.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alejandro_bedoya\alejandro_bedoya_1_add.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alessandra_ambrosio\y\a7-1376448758_600x0_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alessandra_ambrosio\y\alessandra-abrosio_2.png,y
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alessandra_ambrosio\a7-1376448758_600x0_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alessandra_ambrosio\alessandra-abrosio_1.png,a
C:\Users\zanzi\Desktop\Python\LAG_dataset\data\alessandra_ambrosio\ALESSANDRA-AMBROSIO-8603-1418361012_1.png,a
